,cluster,법정동명
0,4,청운동
1,5,신교동
2,2,궁정동
3,2,효자동
4,5,창성동
5,3,통의동
6,3,적선동
7,5,통인동
8,2,누상동
9,5,누하동
10,5,옥인동
11,3,체부동
12,2,필운동
13,5,내자동
14,4,사직동
15,2,도렴동
16,3,당주동
17,3,내수동
18,4,세종로
19,0,신문로1가
20,3,신문로2가
21,3,청진동
22,3,서린동
23,3,수송동
24,2,중학동
25,3,종로1가
26,3,공평동
27,3,관훈동
28,5,견지동
29,4,와룡동
30,2,권농동
31,4,운니동
32,2,익선동
33,0,경운동
34,3,관철동
35,3,인사동
36,3,낙원동
37,0,종로2가
38,2,팔판동
39,3,삼청동
40,5,안국동
41,3,소격동
42,2,화동
43,2,사간동
44,2,송현동
45,4,가회동
46,3,재동
47,3,계동
48,5,원서동
49,2,훈정동
50,3,묘동
51,2,봉익동
52,3,돈의동
53,2,장사동
54,3,관수동
55,0,종로3가
56,3,인의동
57,4,예지동
58,5,원남동
59,2,연지동
60,0,종로4가
61,5,효제동
62,0,종로5가
63,0,종로6가
64,2,이화동
65,0,연건동
66,4,충신동
67,3,동숭동
68,0,혜화동
69,5,명륜1가
70,3,명륜2가
71,3,명륜4가
72,3,명륜3가
73,0,창신동
74,0,숭인동
75,5,교남동
76,0,평동
77,2,송월동
78,5,홍파동
79,4,교북동
80,4,행촌동
81,0,구기동
82,0,평창동
83,3,부암동
84,4,홍지동
85,4,신영동
86,5,무악동
87,3,무교동
88,3,다동
89,3,태평로1가
90,3,을지로1가
91,3,을지로2가
92,2,남대문로1가
93,5,삼각동
94,2,수하동
95,5,장교동
96,3,수표동
97,3,소공동
98,0,남창동
99,3,북창동
100,3,태평로2가
101,4,남대문로2가
102,4,남대문로3가
103,5,남대문로4가
104,0,남대문로5가
105,4,봉래동1가
106,4,봉래동2가
107,3,회현동1가
108,5,회현동2가
109,2,회현동3가
110,3,충무로1가
111,3,충무로2가
112,3,명동1가
113,3,명동2가
114,5,남산동1가
115,3,남산동2가
116,2,남산동3가
117,5,저동1가
118,3,충무로4가
119,5,충무로5가
120,3,인현동2가
121,2,예관동
122,5,묵정동
123,5,필동1가
124,3,필동2가
125,3,필동3가
126,2,남학동
127,2,주자동
128,4,예장동
129,5,장충동1가
130,3,장충동2가
131,3,광희동1가
132,4,광희동2가
133,3,쌍림동
134,0,을지로6가
135,2,을지로7가
136,5,을지로4가
137,5,을지로5가
138,3,주교동
139,4,방산동
140,3,오장동
141,3,을지로3가
142,2,입정동
143,2,산림동
144,3,충무로3가
145,3,초동
146,2,인현동1가
147,3,저동2가
148,1,신당동
149,3,흥인동
150,5,무학동
151,0,황학동
152,3,서소문동
153,3,정동
154,3,순화동
155,4,의주로1가
156,2,충정로1가
157,0,중림동
158,2,의주로2가
159,2,만리동1가
160,5,만리동2가
161,0,후암동
162,0,용산동2가
163,4,용산동4가
164,0,갈월동
165,3,남영동
166,4,용산동1가
167,3,동자동
168,0,서계동
169,5,청파동1가
170,3,청파동2가
171,3,청파동3가
172,0,원효로1가
173,5,원효로2가
174,4,신창동
175,5,산천동
176,4,청암동
177,5,원효로3가
178,4,원효로4가
179,0,효창동
180,4,도원동
181,0,용문동
182,4,문배동
183,5,신계동
184,0,한강로1가
185,0,한강로2가
186,2,용산동3가
187,4,용산동5가
188,0,한강로3가
189,0,이촌동
190,0,이태원동
191,0,한남동
192,4,동빙고동
193,4,서빙고동
194,2,주성동
195,4,용산동6가
196,0,보광동
197,5,상왕십리동
198,0,하왕십리동
199,3,홍익동
200,0,도선동
201,0,마장동
202,4,사근동
203,1,행당동
204,0,응봉동
205,0,금호동1가
206,0,금호동2가
207,0,금호동3가
208,0,금호동4가
209,0,옥수동
210,0,성수동1가
211,0,성수동2가
212,0,송정동
213,0,용답동
214,1,중곡동
215,0,능동
216,1,구의동
217,0,광장동
218,1,자양동
219,0,화양동
220,0,군자동
221,0,신설동
222,0,용두동
223,0,제기동
224,1,전농동
225,1,답십리동
226,1,장안동
227,0,청량리동
228,0,회기동
229,0,휘경동
230,0,이문동
231,1,면목동
232,1,상봉동
233,1,중화동
234,1,묵동
235,1,망우동
236,1,신내동
237,0,성북동
238,0,성북동1가
239,0,돈암동
240,5,동소문동1가
241,5,동소문동2가
242,5,동소문동3가
243,5,동소문동4가
244,5,동소문동5가
245,5,동소문동6가
246,4,동소문동7가
247,4,삼선동1가
248,4,삼선동2가
249,4,삼선동3가
250,5,삼선동4가
251,3,삼선동5가
252,3,동선동1가
253,3,동선동2가
254,2,동선동3가
255,5,동선동4가
256,5,동선동5가
257,4,안암동1가
258,4,안암동2가
259,2,안암동3가
260,5,안암동4가
261,0,안암동5가
262,5,보문동4가
263,5,보문동5가
264,2,보문동6가
265,5,보문동7가
266,4,보문동1가
267,5,보문동2가
268,2,보문동3가
269,1,정릉동
270,1,길음동
271,1,종암동
272,1,하월곡동
273,0,상월곡동
274,1,장위동
275,0,석관동
276,1,미아동
277,1,번동
278,1,수유동
279,0,우이동
280,1,쌍문동
281,1,방학동
282,1,창동
283,0,도봉동
284,1,월계동
285,1,공릉동
286,0,하계동
287,1,상계동
288,1,중계동
289,0,수색동
290,0,녹번동
291,1,불광동
292,1,갈현동
293,0,구산동
294,0,대조동
295,1,응암동
296,1,역촌동
297,1,신사동
298,0,증산동
299,1,진관동
300,0,충정로2가
301,0,충정로3가
302,2,합동
303,5,미근동
304,5,냉천동
305,4,천연동
306,5,옥천동
307,0,영천동
308,4,현저동
309,0,북아현동
310,1,홍제동
311,0,대현동
312,0,대신동
313,3,신촌동
314,2,봉원동
315,0,창천동
316,0,연희동
317,0,홍은동
318,1,북가좌동
319,1,남가좌동
320,0,아현동
321,0,공덕동
322,0,신공덕동
323,1,도화동
324,0,용강동
325,4,토정동
326,5,마포동
327,0,대흥동
328,0,염리동
329,0,노고산동
330,0,신수동
331,2,현석동
332,5,구수동
333,0,창전동
334,0,상수동
335,4,하중동
336,1,신정동
337,2,당인동
338,0,서교동
339,0,동교동
340,0,합정동
341,0,망원동
342,0,연남동
343,0,성산동
344,0,중동
345,1,상암동
346,1,목동
347,1,신월동
348,1,염창동
349,1,등촌동
350,1,화곡동
351,1,가양동
352,1,마곡동
353,1,내발산동
354,4,외발산동
355,0,공항동
356,1,방화동
357,4,개화동
358,4,과해동
359,2,오곡동
360,2,오쇠동
361,1,신도림동
362,1,구로동
363,0,가리봉동
364,1,고척동
365,1,개봉동
366,1,오류동
367,0,궁동
368,0,온수동
369,0,천왕동
370,0,항동
371,1,가산동
372,1,독산동
373,1,시흥동
374,0,영등포동
375,2,영등포동1가
376,3,영등포동2가
377,0,영등포동3가
378,0,영등포동4가
379,5,영등포동5가
380,5,영등포동6가
381,0,영등포동7가
382,0,영등포동8가
383,1,여의도동
384,3,당산동1가
385,0,당산동2가
386,0,당산동3가
387,0,당산동4가
388,0,당산동5가
389,0,당산동6가
390,4,당산동
391,0,도림동
392,4,문래동1가
393,3,문래동2가
394,0,문래동3가
395,5,문래동4가
396,4,문래동5가
397,0,문래동6가
398,3,양평동1가
399,0,양평동2가
400,0,양평동3가
401,0,양평동4가
402,0,양평동5가
403,4,양평동6가
404,4,양화동
405,1,신길동
406,1,대림동
407,2,양평동
408,1,노량진동
409,1,상도동
410,0,상도1동
411,0,본동
412,1,흑석동
413,4,동작동
414,1,사당동
415,1,대방동
416,1,신대방동
417,1,봉천동
418,1,신림동
419,0,남현동
420,1,방배동
421,1,양재동
422,0,우면동
423,4,원지동
424,1,잠원동
425,1,반포동
426,1,서초동
427,0,내곡동
428,4,염곡동
429,0,신원동
430,1,역삼동
431,1,개포동
432,0,청담동
433,1,삼성동
434,1,대치동
435,1,논현동
436,0,압구정동
437,0,세곡동
438,0,자곡동
439,4,율현동
440,1,일원동
441,0,수서동
442,1,도곡동
443,1,잠실동
444,1,신천동
445,0,풍납동
446,0,송파동
447,0,석촌동
448,0,삼전동
449,1,가락동
450,1,문정동
451,0,장지동
452,1,방이동
453,1,오금동
454,0,거여동
455,0,마천동
456,1,명일동
457,0,고덕동
458,0,상일동
459,1,길동
460,0,둔촌동
461,0,암사동
462,1,성내동
463,1,천호동
464,0,강일동
